pincode,state,district,district_tamil,taluk,taluk_count,district_ambiguous,post_office,lat,lon
600001,TN,Chennai,சென்னை,Maduravoyal,1,no,Chennai G.P.O.,13.1051,80.2844
600002,TN,Chennai,சென்னை,,0,yes,Anna Road H.O,13.0745,80.2698
600003,TN,Chennai,சென்னை,Aminjikarai,1,no,Park Town H.O,13.0830,80.2788
600004,TN,Chennai,சென்னை,Mylapore,1,no,Mylapore H.O,13.0294,80.2668
600005,TN,Chennai,சென்னை,Mylapore,1,no,Chepauk S.O,13.0672,80.2837
600006,TN,Chennai,சென்னை,Egmore,1,no,Greams Road S.O,13.0599,80.2548
600007,TN,Chennai,சென்னை,Purasawalkam,1,no,Vepery S.O,13.0898,80.2594
600008,TN,Chennai,சென்னை,Egmore,1,no,Egmore Ndso,13.0756,80.2623
600009,TN,Chennai,சென்னை,,0,no,Fort St George S.O,13.0794,80.2856
600010,TN,Chennai,சென்னை,,0,no,Kilpauk S.O,13.0797,80.2371
600011,TN,Chennai,சென்னை,Perambur,1,no,Sembiam S.O,13.1141,80.2289
600012,TN,Chennai,சென்னை,,0,no,Perambur Barracks S.O,13.0977,80.2518
600013,TN,Chennai,சென்னை,,0,no,Rayapuram S.O,13.1123,80.2923
600014,TN,Chennai,சென்னை,Mylapore,1,no,Royapettah S.O,13.0539,80.2544
600015,TN,Chennai,சென்னை,Guindy,2,no,Saidapet S.O (Chennai),13.0454,80.2376
600016,TN,Chennai,சென்னை,Guindy,2,yes,St Thomas Mount Ho,13.0052,80.1616
600017,TN,Chennai,சென்னை,Guindy,2,no,Thygarayanagar H.O,13.0342,80.2395
600018,TN,Chennai,சென்னை,,0,no,Teynampet S.O,13.0394,80.2574
600019,TN,Chennai,சென்னை,Tiruvottiyur,1,yes,Tiruvottiyur So,13.1530,80.2650
600020,TN,Chennai,சென்னை,Guindy,1,no,Shastri Nagar S.O (Chennai),13.0010,80.2573
600021,TN,Chennai,சென்னை,Kolathur,1,no,Washermanpet East S.O,13.1189,80.2852
600022,TN,Chennai,சென்னை,,0,no,Rajbhavan S.O (Chennai),13.0454,80.2376
600023,TN,Chennai,சென்னை,Ayanavaram,2,no,Aynavaram S.O,13.1018,80.2296
600024,TN,Chennai,சென்னை,Mambalam,1,no,Kodambakkam S.O,13.0518,80.2300
600025,TN,Chennai,சென்னை,,0,no,Engineering College S.O (Chennai),13.0454,80.2376
600026,TN,Chennai,சென்னை,,0,no,Vadapalani S.O,13.5056,80.2146
600028,TN,Chennai,சென்னை,,0,no,Raja Annamalaipuram S.O,13.0500,80.4491
600030,TN,Chennai,சென்னை,Aminjikarai,1,no,Shenoy Nagar S.O,13.0801,80.2247
600031,TN,Chennai,சென்னை,,0,no,Chetput S.O,13.0704,80.2425
600032,TN,Chennai,சென்னை,Guindy,1,no,Guindy Industrial Estate S.O,13.0515,80.2116
600033,TN,Chennai,சென்னை,Mambalam,1,no,West Mambalam S.O,13.0351,80.2206
600034,TN,Chennai,சென்னை,,0,no,Loyola College S.O,13.1091,80.3942
600035,TN,Chennai,சென்னை,,0,no,Nandanam S.O,13.0318,80.2407
600036,TN,Chennai,சென்னை,,0,no,Indian Institute Of Technology S.O,12.9936,80.2339
600037,TN,Chennai,சென்னை,Ambattur,2,yes,Mogappair So,13.0848,80.1832
600038,TN,Chennai,சென்னை,,0,no,Icf Colony S.O,13.1004,80.2143
600039,TN,Chennai,சென்னை,,0,no,Vyasarpadi S.O,13.1231,80.2611
600040,TN,Chennai,சென்னை,Aminjikarai,1,no,Anna Nagar S.O (Chennai),13.0846,80.2079
600041,TN,Chennai,சென்னை,Sholinganallur,2,no,Palavakkam S.O (Kanchipuram),12.9608,80.2566
600042,TN,Chennai,சென்னை,Velachery,1,no,Velacheri S.O,12.9826,80.2216
600043,TN,Chengalpattu,செங்கல்பட்டு,Pallavaram,1,no,Rajajinagar So Kanchipuram,12.9520,80.1220
600044,TN,Chengalpattu,செங்கல்பட்டு,Avadi,2,yes,Chromepet So,12.9524,80.1406
600045,TN,Chengalpattu,செங்கல்பட்டு,Tambaram,1,no,Tambaram Ho,12.9279,80.1176
600046,TN,Chengalpattu,செங்கல்பட்டு,,0,no,Tambaram Iaf So,12.0188,80.2013
600047,TN,Chengalpattu,செங்கல்பட்டு,Tambaram,1,no,Tambaram Sanatorium So,12.9421,80.1337
600048,TN,Chengalpattu,செங்கல்பட்டு,Vandalur,2,no,Vandalur So,12.8760,80.0340
600049,TN,Chennai,சென்னை,Aminjikarai,1,yes,Tirumangalam Road So,13.1098,80.2030
600050,TN,Chennai,சென்னை,Ambattur,1,yes,Padi So,13.0989,80.1838
600051,TN,Chennai,சென்னை,Mathavaram,2,no,Madhavaram Milk Colony So,13.2660,80.4101
600052,TN,Thiruvallur,திருவள்ளூர்,Ponneri,5,yes,Redhills So,13.1950,80.0800
600053,TN,Chennai,சென்னை,Ambattur,3,yes,Ambattur Ho,13.1180,80.1260
600054,TN,Thiruvallur,திருவள்ளூர்,Avadi,1,no,Avadi Camp Ho,13.1392,80.0959
600055,TN,Thiruvallur,திருவள்ளூர்,Avadi,2,no,Avadi Iaf So,13.1468,80.0727
600056,TN,Thiruvallur,திருவள்ளூர்,Poonamallee,3,yes,Poonamallee So,13.0512,80.1030
600057,TN,Thiruvallur,திருவள்ளூர்,Ponneri,2,yes,Ernavur So,13.2070,80.2930
600058,TN,Chennai,சென்னை,Ambattur,1,no,Ambattur Indl Estate So,13.1001,80.1741
600059,TN,Chengalpattu,செங்கல்பட்டு,,0,no,Tambaram East So,12.9050,80.0910
600060,TN,Chennai,சென்னை,Mathavaram,3,yes,Madhavaram So Tiruvallur,13.1493,79.9109
600061,TN,Chennai,சென்னை,Alandur,1,no,Pazhavanthangal S.O,12.9966,80.1990
600062,TN,Thiruvallur,திருவள்ளூர்,Avadi,1,no,Senthilnagar So,13.1833,80.2093
600063,TN,Chengalpattu,செங்கல்பட்டு,Tambaram,1,no,Srinivasanagar So Kanchipuram,12.9251,80.1987
600064,TN,Chengalpattu,செங்கல்பட்டு,Pallavaram,2,no,Hasthinapuram So,12.0678,80.2354
600066,TN,Thiruvallur,திருவள்ளூர்,Poonamallee,2,yes,Pozhal So,13.1629,80.2031
600067,TN,Thiruvallur,திருவள்ளூர்,Ponneri,4,yes,Sholavaram So,13.2200,80.1118
600068,TN,Chennai,சென்னை,Tiruvottiyur,3,yes,Manali So Tiruvallur,13.1271,79.9109
600069,TN,Kancheepuram,காஞ்சிபுரம்,Kundrathur,3,yes,Kunnathur So Kanchipuram,12.9810,80.0480
600070,TN,Chengalpattu,செங்கல்பட்டு,Pallavaram,1,no,Anakaputhur So,12.9850,80.1219
600071,TN,Thiruvallur,திருவள்ளூர்,Avadi,1,no,Kamarajnagar So,13.0860,80.0790
600072,TN,Thiruvallur,திருவள்ளூர்,Poonamallee,2,no,Pattabiram So,13.1020,80.0390
600073,TN,Chengalpattu,செங்கல்பட்டு,Tambaram,1,no,Selaiyur So,12.9234,80.1474
600074,TN,Chengalpattu,செங்கல்பட்டு,Pallavaram,1,no,Polichalur So,12.9849,80.1393
600075,TN,Chengalpattu,செங்கல்பட்டு,Pallavaram,1,no,Pammal East So,12.9835,80.1452
600076,TN,Chennai,சென்னை,Poonamallee,1,yes,Korattur Rs So,13.1143,80.1852
600077,TN,Thiruvallur,திருவள்ளூர்,Poonamallee,3,yes,Thiruverkadu So,13.0480,80.1080
600078,TN,Chennai,சென்னை,Mambalam,1,no,Kalaignar Karunanidhi Nagar S.O,13.0434,80.2064
600081,TN,Chennai,சென்னை,Tondiarpet,2,no,Tondiarpet Bazaar S.O,13.1381,80.2947
600082,TN,Chennai,சென்னை,,0,no,Kumaran Nagar S.O,13.1249,80.2257
600083,TN,Chennai,சென்னை,,0,no,Ashoknagar S.O (Chennai),13.0454,80.2376
600084,TN,Chennai,சென்னை,Purasawalkam,1,no,Flowers Road S.O,13.0785,80.2519
600085,TN,Chennai,சென்னை,Guindy,1,no,Kotturpuram S.O,13.0210,80.2432
600086,TN,Chennai,சென்னை,Alandur,1,no,Gopalapuram S.O (Chennai),13.0454,80.2376
600087,TN,Chennai,சென்னை,Maduravoyal,1,no,Alwarthirunagar S.O,13.0484,80.1834
600088,TN,Chennai,சென்னை,Alandur,1,no,Adambakkam S.O,12.1563,80.3201
600089,TN,Chennai,சென்னை,Alandur,3,yes,Ramapuram S.O (Kanchipuram),13.0301,80.1797
600090,TN,Chennai,சென்னை,Velachery,1,no,Rajaji Bhavan S.O,13.0018,80.1613
600091,TN,Chennai,சென்னை,Sholinganallur,2,yes,Madipakkam S.O,12.1024,80.0193
600092,TN,Chennai,சென்னை,Mambalam,1,no,Virugambakkam S.O,13.0503,80.1944
600093,TN,Chennai,சென்னை,Mambalam,1,no,Saligramam S.O,13.0426,80.2064
600094,TN,Chennai,சென்னை,Maduravoyal,1,no,Choolaimedu S.O,13.1104,80.3691
600095,TN,Chennai,சென்னை,Maduravoyal,2,yes,Maduravoyal So,13.0470,80.1260
600096,TN,Chennai,சென்னை,Sholinganallur,1,no,Perungudi S.O,12.9677,80.2449
600097,TN,Chennai,சென்னை,Sholinganallur,1,no,Karapakkam S.O,12.9223,80.2391
600098,TN,Chennai,சென்னை,Ambattur,1,no,,,
600099,TN,Chennai,சென்னை,Mathavaram,3,yes,Kolathur So,13.1245,80.2138
600100,TN,Chengalpattu,செங்கல்பட்டு,Sholinganallur,2,yes,Medavakkam So,12.9330,80.1771
600101,TN,Chennai,சென்னை,,0,no,Anna Nagar Western Extn S.O,13.0876,80.1927
600102,TN,Chennai,சென்னை,,0,no,Anna Nagar East S.O,13.0840,80.2197
600103,TN,Thiruvallur,திருவள்ளூர்,Ponneri,4,yes,Manali New Town So,13.1790,80.2390
600104,TN,Chennai,சென்னை,,0,no,High Court Building S.O (Chennai),13.0872,80.2877
600106,TN,Chennai,சென்னை,Aminjikarai,1,no,Arumbakkam S.O,13.0667,80.2145
600107,TN,Chennai,சென்னை,Aminjikarai,3,no,Koyambedu Wholesale Mkt,13.0666,80.1916
600110,TN,Thiruvallur,திருவள்ளூர்,,0,no,Ponniammanmedu So,13.2277,80.3967
600113,TN,Chennai,சென்னை,Velachery,1,no,Dr Ambedkar Law Univeristy,12.9775,80.2433
600115,TN,Chennai,சென்னை,Sholinganallur,1,no,Injambakkam S.O,12.9251,80.1987
600116,TN,Chennai,சென்னை,Maduravoyal,2,yes,Porur So,13.0280,80.1360
600117,TN,Chengalpattu,செங்கல்பட்டு,,0,no,Keelakattalai So,12.9575,80.1784
600118,TN,Chennai,சென்னை,Perambur,1,no,Kodungaiyur So,13.1378,80.2642
600119,TN,Chennai,சென்னை,Sholinganallur,1,no,Sholinganallur S.O,12.8926,80.2279
600120,TN,Thiruvallur,திருவள்ளூர்,Ponneri,1,no,North Chennai Thermal Pp So,13.2610,80.2500
600122,TN,Kancheepuram,காஞ்சிபுரம்,Kundrathur,1,yes,Mangadu So,13.0080,80.0990
600123,TN,Thiruvallur,திருவள்ளூர்,Poonamallee,1,no,Nazarethpettai So,13.0190,80.0570
600124,TN,Thiruvallur,திருவள்ளூர்,Poonamallee,2,no,Thirumushi So,13.0540,79.9890
600125,TN,Chennai,சென்னை,Alandur,3,yes,Mugalivakkam So,12.9251,80.1987
600126,TN,Chengalpattu,செங்கல்பட்டு,Tambaram,2,no,Madambakkam So,12.9251,80.1987
600127,TN,Chengalpattu,செங்கல்பட்டு,Vandalur,2,no,Melakkottaiyur So,12.8570,80.0710
600128,TN,Kancheepuram,காஞ்சிபுரம்,Kundrathur,1,yes,Kovur So Tamilnadu Circle,13.1271,79.9109
600129,TN,Chengalpattu,செங்கல்பட்டு,Tambaram,1,no,Kovilambakkam So,12.9251,80.1987
600130,TN,Chengalpattu,செங்கல்பட்டு,Vandalur,2,no,Thazambur,12.5920,80.0260
600131,TN,Chengalpattu,செங்கல்பட்டு,Tambaram,1,no,Sithalapakkam So,12.8710,80.1560
600132,TN,Kancheepuram,காஞ்சிபுரம்,Kundrathur,2,yes,Tirumudivakkam So,17.9192,77.5105
600133,TN,Thiruvallur,திருவள்ளூர்,,0,no,Somangalam S.O,12.9529,80.0420
601101,TN,Thiruvallur,திருவள்ளூர்,Gummidipoondi,3,no,Arni Cpt So,13.3310,80.0690
601102,TN,Thiruvallur,திருவள்ளூர்,Uthukkottai,3,no,Periapalayam S.O,13.3711,80.0756
601103,TN,Thiruvallur,திருவள்ளூர்,Uthukkottai,2,no,Vengal S.O,13.2196,80.0348
601201,TN,Thiruvallur,திருவள்ளூர்,Gummidipoondi,3,no,Gummidipundi So,13.4310,80.1310
601202,TN,Thiruvallur,திருவள்ளூர்,Gummidipoondi,1,no,Madarpakkam So,13.4340,79.9750
601203,TN,Thiruvallur,திருவள்ளூர்,Ponneri,1,no,Minjur So,13.3000,80.2170
601204,TN,Thiruvallur,திருவள்ளூர்,Ponneri,2,no,Ponneri So,13.3099,80.2123
601205,TN,Thiruvallur,திருவள்ளூர்,Ponneri,2,no,Pulicat So,13.4180,80.1980
601206,TN,Thiruvallur,திருவள்ளூர்,Ponneri,2,no,Kavarapettai So,13.3400,80.1020
601301,TN,Kancheepuram,காஞ்சிபுரம்,Kundrathur,3,yes,Padappai So,12.1351,80.0351
602001,TN,Thiruvallur,திருவள்ளூர்,Thiruvallur,1,no,Tiruvallur H.O,13.1319,79.9095
602002,TN,Thiruvallur,திருவள்ளூர்,Thiruvallur,2,yes,Manavalanagar S.O,13.0858,79.9079
602003,TN,Thiruvallur,திருவள்ளூர்,Thiruvallur,1,no,Kakalur Ind Estate S.O,13.1267,79.9188
602021,TN,Thiruvallur,திருவள்ளூர்,Thiruvallur,1,no,Ikkadu S.O,13.1885,79.9396
602023,TN,Thiruvallur,திருவள்ளூர்,Thiruvallur,2,no,Poondi S.O,13.1426,79.9090
602024,TN,Thiruvallur,திருவள்ளூர்,Thiruvallur,3,no,Tiruninravur Rs S.O,13.1819,79.9737
602025,TN,Thiruvallur,திருவள்ளூர்,Thiruvallur,2,yes,Tirur Cpt S.O,13.1161,79.9784
602026,TN,Thiruvallur,திருவள்ளூர்,Uthukkottai,1,no,Uttukottai S.O,12.9749,79.9845
602105,TN,Kancheepuram,காஞ்சிபுரம்,Sriperumbudur,5,yes,Pattunoolchatram S.O,12.9675,79.9418
602106,TN,Kancheepuram,காஞ்சிபுரம்,Sriperumbudur,2,yes,Sunguvarchatram S.O,13.1100,79.9752
602108,TN,Kancheepuram,காஞ்சிபுரம்,Sriperumbudur,3,yes,Pannur S.O (Kanchipuram),12.9675,79.9418
602117,TN,Kancheepuram,காஞ்சிபுரம்,Sriperumbudur,1,yes,Irungattukottai S.O,12.9707,79.9707
602118,TN,Kanchipuram,காஞ்சிபுரம்,,0,no,Oragadam So,12.6483,80.0387
603001,TN,Chengalpattu,செங்கல்பட்டு,Chengalpattu,1,no,Chengalpattu Ho,12.6840,79.9833
603002,TN,Chengalpattu,செங்கல்பட்டு,Chengalpattu,1,no,Gundurchengalpattu So,12.7056,79.9738
603003,TN,Chengalpattu,செங்கல்பட்டு,Chengalpattu,3,no,Vallam So,12.7074,79.9393
603004,TN,Chengalpattu,செங்கல்பட்டு,,0,no,Mahindra World City So Kanchipuram,12.7074,79.9393
603101,TN,Chengalpattu,செங்கல்பட்டு,Chengalpattu,1,no,Athurchengalpattu So,12.6840,79.9833
603102,TN,Chengalpattu,செங்கல்பட்டு,Tirukalukundram,1,no,Pudupattinam Colony So,12.5088,80.1264
603103,TN,Chengalpattu,செங்கல்பட்டு,Tiruporur,2,no,Padur So,12.7940,80.1720
603104,TN,Chengalpattu,செங்கல்பட்டு,Tirukalukundram,2,no,Mamallapuram So,12.6392,80.1927
603105,TN,Chengalpattu,செங்கல்பட்டு,Tiruporur,2,no,Manambathi So,12.7263,79.9619
603106,TN,Kancheepuram,காஞ்சிபுரம்,Uthiramerur,2,yes,Orakattupettai So,12.7263,79.9360
603107,TN,Kancheepuram,காஞ்சிபுரம்,Uthiramerur,2,yes,Salavakkam So,12.6840,79.9833
603108,TN,Chengalpattu,செங்கல்பட்டு,Tiruporur,3,no,Sembakkam So,12.6840,79.9833
603109,TN,Chengalpattu,செங்கல்பட்டு,Tirukalukundram,2,no,Tirukalikundram So,12.5972,80.0556
603110,TN,Chengalpattu,செங்கல்பட்டு,Tiruporur,2,no,Tiruporur So,12.7141,80.1502
603111,TN,Chengalpattu,செங்கல்பட்டு,Chengalpattu,3,no,Venpakkam So,12.7577,80.1862
603112,TN,Chengalpattu,செங்கல்பட்டு,Tiruporur,1,no,Kovalam So Kanchipuram,12.7480,80.2120
603127,TN,Chengalpattu,செங்கல்பட்டு,,0,no,Anupuram So,12.9251,80.1987
603201,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,no,Elapakkam So,12.6445,79.8424
603202,TN,Chengalpattu,செங்கல்பட்டு,Vandalur,4,yes,Guduvancheri So,12.6840,79.9833
603203,TN,Kancheepuram,காஞ்சிபுரம்,Kundrathur,3,yes,Kattankolathur So,12.6840,79.9833
603204,TN,Chengalpattu,செங்கல்பட்டு,Chengalpattu,3,yes,Singaperumalkoil So,12.6840,79.9833
603209,TN,Chengalpattu,செங்கல்பட்டு,Chengalpattu,1,no,Maraimalai Nagar So,13.0156,80.0416
603210,TN,Chengalpattu,செங்கல்பட்டு,Vandalur,1,no,Urapakkam So,12.8854,80.0869
603211,TN,Chengalpattu,செங்கல்பட்டு,,0,no,Annai Anjugam Nagar So,12.9251,80.1987
603301,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,no,Acharapakkam So,12.5102,79.8892
603302,TN,Chengalpattu,செங்கல்பட்டு,Cheyyur,2,no,Cheyur So Kanchipuram,12.3381,80.0317
603303,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,no,Karunguli So,12.5374,79.9167
603304,TN,Chengalpattu,செங்கல்பட்டு,Cheyyur,2,no,Kudapakkam So,12.3487,80.0031
603305,TN,Chengalpattu,செங்கல்பட்டு,Cheyyur,2,no,Kuvathur So,12.5102,79.8849
603306,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,no,Madurantakam So,12.5102,79.8849
603307,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,1,no,Orathy So,12.3989,79.7127
603308,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,yes,Padalam So,12.6036,79.9490
603309,TN,Chengalpattu,செங்கல்பட்டு,Cheyyur,2,no,Polambakkam So,12.4102,79.8875
603310,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,no,Thozhupedu So,12.3528,79.8213
603311,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,no,Zamin Endathur So,12.4430,79.9393
603312,TN,Chengalpattu,செங்கல்பட்டு,Cheyyur,2,no,Pavunjur So,12.4723,79.9887
603313,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,no,Chithamur So,12.3487,80.0031
603314,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,4,yes,Malaivaiyavur So,12.6036,79.9490
603319,TN,Chengalpattu,செங்கல்பட்டு,Maduranthakam,2,no,Melmaruvathur So,12.6840,79.9833
603401,TN,Chengalpattu,செங்கல்பட்டு,Cheyyur,1,no,Chunampet So,12.3487,80.0031
603402,TN,Kancheepuram,காஞ்சிபுரம்,Uthiramerur,3,yes,Kaliyampoondi S.O,12.6407,79.7131
603403,TN,Kancheepuram,காஞ்சிபுரம்,Uthiramerur,1,yes,Manampathi S.O,12.6254,79.6818
603405,TN,Chengalpattu,செங்கல்பட்டு,Tirukalukundram,2,no,Ponvilainthakalathur So,12.6539,79.7486
603406,TN,Kancheepuram,காஞ்சிபுரம்,Uthiramerur,3,yes,Uttiramerur S.O,12.6136,79.7575
604001,TN,Viluppuram,விழுப்புரம்,Tindivanam,1,yes,Tindivanam Ho,12.2272,79.6496
604101,TN,Viluppuram,விழுப்புரம்,Tindivanam,1,yes,Akshipakkam So,12.2542,79.7540
604102,TN,Viluppuram,விழுப்புரம்,Vanur,3,yes,Kiliyanur So Villupuram,12.1900,79.6900
604151,TN,Viluppuram,விழுப்புரம்,Gingee,3,yes,Alampoondi So,12.1400,79.3500
604152,TN,Viluppuram,விழுப்புரம்,Gingee,2,yes,Nallanpillaipetral So,12.1500,79.2600
604153,TN,Viluppuram,விழுப்புரம்,Gingee,2,yes,Sathyamangalam So,11.8600,79.6900
604154,TN,Viluppuram,விழுப்புரம்,Vanur,2,yes,Velur Sa So,12.1600,79.7700
604201,TN,Viluppuram,விழுப்புரம்,Melmalaiyanur,1,yes,Avalurpet So,12.4100,79.2600
604202,TN,Viluppuram,விழுப்புரம்,Gingee,2,yes,Gingee Mdg,12.2800,79.3900
604203,TN,Viluppuram,விழுப்புரம்,Gingee,1,yes,Melolakkur So,12.3329,79.5210
604204,TN,Viluppuram,விழுப்புரம்,Melmalaiyanur,1,yes,Melmalayanur So,12.3100,79.3500
604205,TN,Viluppuram,விழுப்புரம்,Gingee,1,yes,Minambur So,12.2000,79.4500
604206,TN,Viluppuram,விழுப்புரம்,Gingee,2,yes,Vallam So,12.2500,79.5000
604207,TN,Viluppuram,விழுப்புரம்,Tindivanam,2,yes,Vellimedupettai So,12.3500,79.6100
604208,TN,Viluppuram,விழுப்புரம்,Melmalaiyanur,2,yes,Valathi So,12.4400,79.3800
604210,TN,Viluppuram,விழுப்புரம்,Gingee,3,yes,Illodu So,12.3100,79.4100
604301,TN,Viluppuram,விழுப்புரம்,Marakanam,3,yes,Brahmadesam So Villupuram,12.2100,79.8400
604302,TN,Viluppuram,விழுப்புரம்,Tindivanam,2,yes,Kutteripattu So,12.2000,79.6500
604303,TN,Viluppuram,விழுப்புரம்,Marakanam,4,yes,Markanum So,12.1800,79.8800
604304,TN,Viluppuram,விழுப்புரம்,Tindivanam,2,yes,Mailam So,12.0600,79.6500
604305,TN,Viluppuram,விழுப்புரம்,Tindivanam,1,yes,Olakkur So,12.0300,11.0690
604306,TN,Viluppuram,விழுப்புரம்,Gingee,3,yes,Rettanai So,12.1700,79.5500
604307,TN,Viluppuram,விழுப்புரம்,Tindivanam,2,yes,Saram Tindivanam So,12.2700,79.6900
604401,TN,Tiruvannamalai,திருவண்ணாமலை,Cheyyar,1,no,Anukkavoor So,12.2703,78.7618
604402,TN,Tiruvannamalai,திருவண்ணாமலை,Vembakkam,2,no,Hasanamapettai So,12.4495,79.5540
604403,TN,Tiruvannamalai,திருவண்ணாமலை,Vandavasi,1,no,Kilkodungalur So,12.9506,80.0033
604404,TN,Tiruvannamalai,திருவண்ணாமலை,Cheyyar,2,no,Kilkovalavedu So,12.4495,79.5540
604405,TN,Tiruvannamalai,திருவண்ணாமலை,Vandavasi,1,no,Marudadu So,13.1710,80.0115
604406,TN,Tiruvannamalai,திருவண்ணாமலை,Vandavasi,1,no,Tellar So,12.5823,80.1207
604407,TN,Tiruvannamalai,திருவண்ணாமலை,Cheyyar,3,yes,Tiruvettipuram So,12.6605,79.5431
604408,TN,Tiruvannamalai,திருவண்ணாமலை,Vandavasi,2,no,Vandavasi So,12.0294,79.6047
604409,TN,Tiruvannamalai,திருவண்ணாமலை,Cheyyar,1,no,Valkadai So,12.4495,79.5540
604410,TN,Tiruvannamalai,திருவண்ணாமலை,Vembakkam,1,no,Vembakkam So,12.4495,79.5540
604411,TN,Tiruvannamalai,திருவண்ணாமலை,,0,no,Ponnur S.O,12.4686,79.5433
604501,TN,Tiruvannamalai,திருவண்ணாமலை,Vandavasi,2,no,Desur So,12.8757,79.8374
604502,TN,Tiruvannamalai,திருவண்ணாமலை,Vandavasi,2,no,Malayur So,12.7839,79.8240
604503,TN,Tiruvannamalai,திருவண்ணாமலை,Vandavasi,3,no,Pernamallur So,12.5456,79.4234
604504,TN,Tiruvannamalai,திருவண்ணாமலை,Chetpet,2,no,Tirumani So,12.7839,79.8240
604505,TN,Tiruvannamalai,திருவண்ணாமலை,Vandavasi,2,no,Vallam Arni So,12.7469,80.1847
604601,TN,Tiruvannamalai,திருவண்ணாமலை,Kilpennathur,1,no,Kilpennathur So,13.3725,80.3334
605001,PY,Pondicherry,புதுச்சேரி,,0,no,Pondicherry Ho,11.9345,79.8351
605002,PY,Pondicherry,புதுச்சேரி,,0,no,Sri Aurobindo Ashram So,11.9459,79.8346
605003,PY,Pondicherry,புதுச்சேரி,,0,no,Muthialpet So,11.9568,79.8352
605004,PY,Pondicherry,புதுச்சேரி,,0,no,Mudaliarpet So,11.9212,79.8151
605005,PY,Pondicherry,புதுச்சேரி,,0,no,Nellithope So,11.9293,79.8117
605006,PY,Pondicherry,புதுச்சேரி,,0,no,Dhanvantri Nagar So,11.9497,79.7996
605007,TN,Cuddalore,கடலூர்,Cuddalore,1,yes,Ariyankuppam So,11.8546,79.8115
605008,PY,Pondicherry,புதுச்சேரி,,0,no,Lawspet So,11.9542,79.8210
605009,PY,Pondicherry,புதுச்சேரி,,0,no,Thattanchavady So,11.9400,79.7900
605010,PY,Pondicherry,புதுச்சேரி,,0,no,Reddiarpalayam So,11.9400,79.7800
605011,PY,Pondicherry,புதுச்சேரி,,0,no,Venkata Nagar So,11.9403,79.8252
605013,PY,Pondicherry,புதுச்சேரி,,0,no,Sarampy So,11.9389,79.8145
605014,TN,Viluppuram,விழுப்புரம்,Vanur,2,yes,Pondicherry University So,12.0500,79.8700
605101,TN,Villupuram,விழுப்புரம்,,0,no,Auroville So,11.9921,79.8381
605102,TN,Viluppuram,விழுப்புரம்,Viluppuram,3,yes,Kandamangalam So,11.9100,79.7000
605103,TN,Viluppuram,விழுப்புரம்,Viluppuram,1,yes,Koliyanur So,11.9600,79.5500
605104,TN,Villupuram,விழுப்புரம்,Vanur,1,yes,Kottakuppam So,11.9915,79.8495
605105,TN,Viluppuram,விழுப்புரம்,Viluppuram,2,yes,Mokshakulam So,11.8686,79.5793
605106,TN,Viluppuram,விழுப்புரம்,Viluppuram,2,yes,Nettapakkam So,11.8600,79.6700
605107,TN,Viluppuram,விழுப்புரம்,Vikravandi,2,yes,Pallineliyanur So,11.9300,79.6400
605108,TN,Viluppuram,விழுப்புரம்,Viluppuram,2,yes,Valavanur So,11.9200,79.5800
605109,TN,Viluppuram,விழுப்புரம்,Vanur,1,yes,Vanur So,12.0500,79.7700
605110,PY,Pondicherry,புதுச்சேரி,Cuddalore,1,yes,Villiyanur So,11.9200,79.7700
605111,TN,Viluppuram,விழுப்புரம்,Vanur,2,yes,Tiruchitambalam So,12.0100,79.7900
605201,TN,Viluppuram,விழுப்புரம்,Gingee,3,yes,Ananthapuram So,12.0800,79.3500
605202,TN,Viluppuram,விழுப்புரம்,Vikravandi,1,yes,Anniyur So,12.0693,79.3954
605203,TN,Viluppuram,விழுப்புரம்,Vikravandi,1,yes,Kanjanur So,12.0300,79.4800
605301,TN,Viluppuram,விழுப்புரம்,Viluppuram,1,yes,Kanai So,11.9200,79.4500
605302,TN,Viluppuram,விழுப்புரம்,Viluppuram,1,yes,Mambazhapattu So,12.8000,79.3500
605401,TN,Viluppuram,விழுப்புரம்,Viluppuram,1,yes,Kandamanadi So,11.8917,79.4742
605402,TN,Viluppuram,விழுப்புரம்,Vikravandi,2,yes,Kedar So,11.9900,79.3800
605403,TN,Viluppuram,விழுப்புரம்,Viluppuram,1,yes,Valudareddy S.O,12.0672,79.3958
605501,TN,Viluppuram,விழுப்புரம்,Vikravandi,2,yes,Tirukkanur So,12.0100,79.6400
605502,TN,Viluppuram,விழுப்புரம்,Vikravandi,2,yes,Valudavur So,11.9800,79.7300
605601,TN,Viluppuram,விழுப்புரம்,Vikravandi,3,yes,Mundiyambakkam So,11.9800,79.5000
605602,TN,Viluppuram,விழுப்புரம்,Viluppuram,1,yes,Viluppuram Ho,11.9468,79.5016
