pincode,state,district,district_tamil,taluk,taluk_count,district_ambiguous,post_office,lat,lon
620020,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Tiruchirappalli East,1,no,Jamal Mohamed College So,10.7874,78.6963
620021,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Srirangam,3,no,Kknagar So Tiruchirappalli,10.7506,78.6776
620022,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,,0,no,Thuvakudimalai So,10.7685,78.7685
620023,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,,0,no,Khajanagar So,10.7775,78.6864
620024,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,,0,no,Bharathidasan University So,10.6759,78.7431
620025,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thiruverumbur,1,no,Hapf Township So,10.7104,78.7963
620026,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,,0,no,Annanagar So,10.7283,78.7638
620027,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Srirangam,1,no,Tamilnadu National Law University S.O,10.7470,78.6001
620101,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Srirangam,1,no,Mutharasanallur So,10.8727,78.6253
620102,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Srirangam,2,no,Somarasampettai So,10.8290,78.6237
621001,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,1,no,Erakudi S.O,11.1600,78.5500
621002,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,1,no,Kirambur S.O,11.2000,78.6000
621003,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,1,no,Kottapalayam S.O,11.2500,78.4700
621004,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,2,no,Kottathur S.O,11.1200,78.6500
621005,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manachanallur,1,no,Manachanalloor S.O,11.0100,78.7300
621006,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Musiri,2,no,Pulivalam S.O (Tiruchirappalli),11.0200,78.5900
621007,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,2,no,Puthanampatti S.O,11.0500,78.7200
621008,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,1,no,Sikkathambur S.O,11.1800,78.5700
621009,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manachanallur,2,no,Tiruvellerai S.O,10.9600,78.6400
621010,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,1,no,Turaiyur H.O,11.1500,78.6000
621011,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,1,yes,Uppliapuram S.O,11.2900,78.5800
621012,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,1,no,Vyrichettipalayam S.O,11.2900,78.5000
621014,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Thuraiyur,2,no,Pagalavadi S.O,11.0700,78.6000
621101,TN,Perambalur,பெரம்பலூர்,Perambalur,1,no,Ammapalayam S.O,11.2300,78.7700
621102,TN,Perambalur,பெரம்பலூர்,Veppanthattai,1,no,Annamangalam S.O,11.3300,78.7800
621103,TN,Perambalur,பெரம்பலூர்,Veppanthattai,2,yes,Arumbavur S.O,78.7500,77.3800
621104,TN,Perambalur,பெரம்பலூர்,Manachanallur,3,yes,Chettikulam S.O,11.1400,78.7800
